ODSEW-ShBeI-t1uDwd-hSRGPd href,ODSEW-ShBeI-t1uDwd-HiaYvf src,user_name,guide_status,num_reviews,ODSEW-ShBeI-z5C9Gb-icon src,ODSEW-ShBeI-fI6EEc src,ODSEW-ShBeI-fI6EEc src 2,unknown,uknown2,ODSEW-ShBeI-fI6EEc src 5,how_long_ago,ODSEW-ShBeI-jfdpUb,written_review,ODSEW-ShBeI-Sc2xXc-icon src,ODSEW-ShBeI-KFwaDe-V67aGc,ODSEW-ShBeI-Sc2xXc-icon src 2,ODSEW-ShBeI-KFwaDe-V67aGc 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.google.com/maps/contrib/110538105646674507784/reviews?hl=en-US,https://lh3.googleusercontent.com/a/AATXAJyZmUOzQwKtOmeodZ-q_4D-CEUM2TbQgIXDbKcC=w36-h36-p-c0x00000000-rp-mo-br100,Philip Kevins,Local Guide,1 review,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 months ago,New,The Super Duper Burgers was best tasting food during our trip to San Jose .The grilled cheese with bacon was to die for.  We had two orders among get the table and almost got some to go! We will definitely be returning next time we take a trip.,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
